tweet_id,timestamp,source,jpg_url,text,expanded_urls,img_num,rating,name,retweet_count,favorite_count,dog_breed,dog_stage
890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,https://twitter.com/dog_rates/status/890240255349198849/photo/1,1,14,Cassie,7711,32467,Pembroke,doggo
889665388333682689,2017-07-25 01:55:32,Twitter for iPhone,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,https://twitter.com/dog_rates/status/889665388333682689/photo/1,1,13,,8538,38818,Pembroke,
889531135344209921,2017-07-24 17:02:04,Twitter for iPhone,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek,https://twitter.com/dog_rates/status/889531135344209921/photo/1,1,13,Stuart,2321,15359,Golden Retriever,
886366144734445568,2017-07-15 23:25:31,Twitter for iPhone,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe,"https://twitter.com/dog_rates/status/886366144734445568/photo/1,https://twitter.com/dog_rates/status/886366144734445568/photo/1",1,12,Roscoe,3316,21524,French Bulldog,
884162670584377345,2017-07-09 21:29:42,Twitter for iPhone,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo,https://twitter.com/dog_rates/status/884162670584377345/photo/1,1,12,Yogi,3128,20771,German Shepherd,doggo
883360690899218434,2017-07-07 16:22:55,Twitter for iPhone,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck,https://twitter.com/dog_rates/status/883360690899218434/photo/1,1,13,Grizzwald,3825,22986,Chow,
882762694511734784,2017-07-06 00:46:41,Twitter for iPhone,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl,https://twitter.com/dog_rates/status/882762694511734784/photo/1,1,12,Gus,5134,28903,Labrador Retriever,
881536004380872706,2017-07-02 15:32:16,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow)",https://twitter.com/dog_rates/status/881536004380872706/video/1,1,14,,16570,50199,Samoyed,
878776093423087618,2017-06-25 00:45:22,Twitter for iPhone,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth,"https://twitter.com/dog_rates/status/878776093423087618/photo/1,https://twitter.com/dog_rates/status/878776093423087618/photo/1",2,13,Snoopy,4319,19763,Italian Greyhound,
876838120628539392,2017-06-19 16:24:33,Twitter for iPhone,https://pbs.twimg.com/media/DCsnnZsVwAEfkyi.jpg,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately,"https://twitter.com/dog_rates/status/876838120628539392/photo/1,https://twitter.com/dog_rates/status/876838120628539392/photo/1",1,12,Ginger,3506,21125,Bloodhound,
874296783580663808,2017-06-12 16:06:11,Twitter for iPhone,https://pbs.twimg.com/media/DCIgSR0XgAANEOY.jpg,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract,https://twitter.com/dog_rates/status/874296783580663808/photo/1,1,13,Jed,4308,26651,Cocker Spaniel,
874012996292530176,2017-06-11 21:18:31,Twitter for iPhone,https://pbs.twimg.com/media/DCEeLxjXsAAvNSM.jpg,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #PrideMonth puppo","https://twitter.com/dog_rates/status/874012996292530176/photo/1,https://twitter.com/dog_rates/status/874012996292530176/photo/1",2,13,Sebastian,11007,35501,Cardigan,
873213775632977920,2017-06-09 16:22:42,Twitter for iPhone,https://pbs.twimg.com/media/DB5HTBGXUAE0TiK.jpg,This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below,"https://www.gofundme.com/help-my-baby-sierra-get-better,https://twitter.com/dog_rates/status/873213775632977920/photo/1,https://twitter.com/dog_rates/status/873213775632977920/photo/1",1,12,Sierra,1667,7467,Vizsla,
872967104147763200,2017-06-09 00:02:31,Twitter for iPhone,https://pbs.twimg.com/media/DB1m871XUAAw5vZ.jpg,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo,"https://twitter.com/dog_rates/status/872967104147763200/photo/1,https://twitter.com/dog_rates/status/872967104147763200/photo/1",2,12,,5669,28031,Labrador Retriever,doggo
871762521631449091,2017-06-05 16:15:56,Twitter for iPhone,https://pbs.twimg.com/media/DBkfY58XcAEdzZy.jpg,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. 12/10,"https://twitter.com/dog_rates/status/871762521631449091/photo/1,https://twitter.com/dog_rates/status/871762521631449091/photo/1,https://twitter.com/dog_rates/status/871762521631449091/photo/1",2,12,Rover,3678,20787,Labrador Retriever,
871515927908634625,2017-06-04 23:56:03,Twitter for iPhone,https://pbs.twimg.com/media/DBg_HT9WAAEeIMM.jpg,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo,"https://twitter.com/dog_rates/status/871515927908634625/photo/1,https://twitter.com/dog_rates/status/871515927908634625/photo/1",2,12,Napolean,3628,20730,Komondor,doggo
869596645499047938,2017-05-30 16:49:31,Twitter for iPhone,https://pbs.twimg.com/media/DBFtiYqWAAAsjj1.jpg,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for,"https://twitter.com/dog_rates/status/869596645499047938/photo/1,https://twitter.com/dog_rates/status/869596645499047938/photo/1",1,12,Scout,3327,16476,Chihuahua,doggo
867421006826221569,2017-05-24 16:44:18,Twitter for iPhone,https://pbs.twimg.com/media/DAmyy8FXYAIH8Ty.jpg,This is Shikha. She just watched you drop a skittle on the ground and still eat it. Could not be less impressed. 12/10 superior puppo,https://twitter.com/dog_rates/status/867421006826221569/photo/1,1,12,Shikha,2697,16755,Eskimo Dog,
